date,close,volume,inst_net,frgn_net,frgn_hold,frgn_rate
2025-06-13,43500,694542,-50293,-290474,15857440,22.68%
2025-06-16,42300,386606,-9530,-111696,15705273,22.46%
2025-06-17,42200,392972,15391,-41230,15686502,22.43%
2025-06-18,42100,517764,-39176,-36763,15604150,22.31%
2025-06-19,41500,543286,-51681,-91694,15510539,22.18%
2025-06-20,44150,1636626,103380,207602,15737348,22.50%
2025-06-23,42600,494193,-59401,-138373,15585816,22.29%
2025-06-24,49450,2450113,128784,345088,15952935,22.81%
2025-06-25,47900,676805,-56499,-198315,15707327,22.46%
2025-06-26,48150,831935,-96780,-236788,15488195,22.15%
2025-06-27,45100,569871,-7932,-191372,15287172,21.86%
2025-06-30,45400,539406,26331,-46511,15308896,21.89%
2025-07-01,47700,820671,69691,172022,15452205,22.10%
2025-07-02,48000,509836,5987,-85642,15394620,22.01%
2025-07-03,53800,2090766,232496,87109,15512356,22.18%
2025-07-04,51200,730170,-26278,-193685,15279486,21.85%
2025-07-07,48950,611849,-50837,-126939,15151605,21.67%
2025-07-08,48150,543684,-64993,-71919,15078178,21.56%
2025-07-09,48200,394379,-12283,-62686,14952830,21.38%
2025-07-10,49150,591793,-5048,-45952,14978084,21.42%
2025-07-11,51500,1136554,68362,56203,15062103,21.54%
2025-07-14,51600,431642,-28015,-108515,14982626,21.42%
2025-07-15,52300,403220,-10234,-49575,14959105,21.39%
2025-07-16,50600,332269,-19957,-45648,14949642,21.38%
2025-07-17,50700,319615,-4137,-88371,14862751,21.25%
2025-07-18,52600,1354434,-7358,-48117,14795764,21.16%
2025-07-21,54300,765149,141836,38049,14834001,21.21%
2025-07-22,52200,530792,-16227,-113752,14737046,21.07%
2025-07-23,52300,327239,-5756,-41456,14702987,21.02%
2025-07-24,52500,504574,-56682,-22414,14668347,20.98%
2025-07-25,52300,484740,-80321,-35496,14679204,20.99%
2025-07-28,52800,375706,54968,12718,14725521,21.06%
2025-07-29,50300,545703,-192481,-39785,14620034,20.91%
2025-07-30,51100,534212,-6788,23320,14660401,20.96%
2025-07-31,51000,409342,-40628,-54724,14629276,20.92%
2025-08-01,48200,475613,-83665,4737,14618651,20.90%
2025-08-04,48700,261111,21642,34346,14724585,21.06%
2025-08-05,54500,1725322,189559,531148,15332709,21.93%
2025-08-06,52200,2058598,11227,-337133,14926515,21.34%
2025-08-07,51900,398412,-10324,-59983,14841420,21.22%
2025-08-08,52200,413964,55309,50347,14918631,21.33%
2025-08-11,54500,681585,7645,130968,15065785,21.54%
2025-08-12,54000,950708,10979,62712,15117234,21.62%
2025-08-13,55100,497950,9260,-37399,15089316,21.58%
2025-08-14,56500,983180,20186,6845,15099986,21.59%
2025-08-18,54100,363072,-6766,-60852,15059572,21.53%
2025-08-19,53300,372667,-29286,-80177,14970336,21.41%
2025-08-20,52400,275691,-13147,-56089,14903001,21.31%
2025-08-21,51700,207865,-20650,-31666,14879974,21.28%
2025-08-22,51000,194775,-28145,-6822,14855806,21.24%
2025-08-25,53900,295492,52795,85063,15005282,21.46%
2025-08-26,54500,344026,13666,59808,15080202,21.56%
2025-08-27,54600,309085,34997,-10479,15059123,21.53%
2025-08-28,52300,376212,-41520,-106702,14915629,21.33%
2025-08-29,50500,319206,-63868,-67484,14864990,21.26%
2025-09-01,49100,291802,-38345,-28059,14842815,21.22%
2025-09-02,49350,197703,5289,-44842,14793467,21.15%
2025-09-03,49300,173697,-1155,-18465,14764772,21.11%
2025-09-04,49900,186146,-21908,5370,14784336,21.14%
2025-09-05,49800,124905,19150,-37961,14752800,21.10%
2025-09-08,49400,173700,23187,-38839,14716238,21.04%
2025-09-09,49450,155884,24790,-61489,14707926,21.03%
2025-09-10,48750,263315,19515,-89062,14653302,20.95%
2025-09-11,49000,415279,197055,-223621,14485903,20.71%
2025-09-12,50300,362990,70093,-56246,14470173,20.69%
2025-09-15,51100,290524,49763,24145,14543747,20.80%
2025-09-16,51000,197043,-5410,-45566,14497991,20.73%
2025-09-17,51000,277272,28916,-25568,14433760,20.64%
2025-09-18,52600,297688,33528,48288,14514054,20.75%
2025-09-19,51600,231242,-106,-40906,14438948,20.65%
2025-09-22,50900,191560,9546,-24036,14399291,20.59%
2025-09-23,51600,243610,-20996,31833,14438257,20.65%
2025-09-24,50000,279670,-47808,-71550,14349436,20.52%
2025-09-25,50800,272429,5307,46398,14407879,20.60%
2025-09-26,48600,249672,-21824,-84965,14321295,20.48%
2025-09-29,48350,150521,-5710,-25582,14295236,20.44%
2025-09-30,47300,183153,-37742,13086,14313872,20.47%
2025-10-01,46800,172506,1139,-16321,14312191,20.47%
2025-10-02,47900,250269,66137,-646,14360204,20.53%
2025-10-10,46200,267616,-31079,-26195,14322629,20.48%
2025-10-13,48450,338033,9777,107451,14445740,20.66%
2025-10-14,49950,514068,48127,93700,14551801,20.81%
2025-10-15,50300,189962,18216,19327,14567530,20.83%
2025-10-16,63400,2672385,199377,587101,15224334,21.77%
2025-10-17,65800,4760702,-59990,-375604,14692403,21.01%
2025-10-20,66000,1257448,-3956,-50393,14622036,20.91%
2025-10-21,64700,1359847,32480,133049,14750471,21.09%
2025-10-22,69500,1834731,-58169,-64765,14660431,20.96%
2025-10-23,65400,783987,-48601,-62420,14594665,20.87%
2025-10-24,67800,2053287,101264,-428953,14186437,20.29%
2025-10-27,66200,1264222,-36516,-122443,13999848,20.02%
2025-10-28,67400,661948,30851,17191,14040516,20.08%
2025-10-29,66500,406617,2426,15639,14073485,20.12%
2025-10-30,64300,930856,-75593,-35589,14036559,20.07%
2025-10-31,63000,422381,-51,31094,14070394,20.12%
2025-11-03,66400,474289,33757,-10031,14050849,20.09%
2025-11-04,65900,564399,-19460,24434,14065105,20.11%
2025-11-05,62000,593794,-44350,-68809,13994080,20.01%
2025-11-06,64200,546677,93094,62158,14072123,20.12%
2025-11-07,60500,434990,-18855,-98679,13945809,19.94%
2025-11-10,61300,240117,29117,6455,13968131,19.97%
2025-11-11,62000,521649,14308,39484,14010589,20.03%
2025-11-12,62600,222613,-4288,16608,14021377,20.05%
2025-11-13,66700,636568,166786,-5613,14022169,20.05%
2025-11-14,62900,311547,-75251,-84658,13916398,19.90%
2025-11-17,61800,224787,-9027,-36199,13884518,19.85%
2025-11-18,58300,272547,-21293,-36342,13847117,19.80%
2025-11-19,57800,196828,10149,-13876,13856548,19.81%
2025-11-20,59300,249798,29898,15051,13922485,19.91%
2025-11-21,55800,257306,-31474,-52102,13848698,19.80%
2025-11-24,53600,207882,9668,-25857,13827900,19.77%
2025-11-25,53100,138261,4035,-4999,13831264,19.78%
2025-11-26,56700,255456,51046,-196,13843182,19.80%
2025-11-27,57500,325366,449,73256,13912000,19.89%
2025-11-28,58000,233068,19382,-20566,13897687,19.87%
2025-12-01,60200,360179,38126,43818,13964733,19.97%
2025-12-02,60200,161011,-1833,-1935,13890413,19.86%
2025-12-03,60000,127668,-3925,-16520,13850298,19.81%
2025-12-04,59000,171716,-35463,-1950,13846443,19.80%
2025-12-05,60000,287430,20339,9379,13871496,19.84%
2025-12-08,63100,838196,-8998,52407,13957969,19.96%
2025-12-09,65300,770652,3931,184086,14184596,20.28%
2025-12-10,64100,485132,-14179,-6776,14150291,20.05%
2025-12-11,61800,343753,-23816,-55047,14097915,19.98%
2025-12-12,62300,205183,4726,-23577,14087466,19.97%
2025-12-15,63100,304387,29079,79466,14198280,20.12%
2025-12-16,59900,322187,-16087,-47377,14107899,19.99%
2025-12-17,59800,231133,11551,-30981,13891931,19.69%
2025-12-18,56000,266284,-25159,-19589,13873361,19.66%
2025-12-19,55000,321108,-24936,-22151,13865407,19.65%
2025-12-22,57100,170147,35956,-3962,13869029,19.66%
2025-12-23,56800,130945,-8080,-10328,13853340,19.63%
2025-12-24,56800,144177,11384,-26611,13825884,19.60%
2025-12-26,55500,149728,-13684,-20432,13800739,19.56%
2025-12-29,55200,139644,-4884,1068,13803594,19.56%
2025-12-30,52100,321368,-21394,-36493,13761494,19.50%
2026-01-02,50300,264182,-38451,-9956,13769107,19.51%
2026-01-05,54100,392806,-6264,98132,13881470,19.67%
2026-01-06,54500,232366,-14034,-4278,13885396,19.68%
2026-01-07,53200,215108,-27252,-14623,13880086,19.67%
2026-01-08,52300,237847,-3300,-38214,13839877,19.61%
2026-01-09,51500,188861,-13528,-32194,13809134,19.57%
2026-01-12,52900,283012,17642,-7672,13837192,19.61%
2026-01-13,55500,297316,46401,24186,13871856,19.66%
2026-01-14,54000,207835,161,-13253,13868171,19.65%
2026-01-15,55900,244384,18571,9578,13881502,19.67%
2026-01-16,54300,186486,-17618,-31208,13857833,19.64%
2026-01-19,56700,298221,9672,45941,13933298,19.75%
2026-01-20,61500,1299842,87835,149002,14125880,20.02%
2026-01-21,59400,426542,-38564,-72493,14026363,19.88%
2026-01-22,62600,912512,30898,-20754,13963766,19.79%
2026-01-23,61700,521607,-15789,-27718,13967635,19.80%
2026-01-26,65600,1540776,367,85226,14133313,20.03%
2026-01-27,64700,815935,12007,-978,14132788,20.03%
2026-01-28,74600,5890650,-32824,270325,14270493,20.23%
2026-01-29,73300,2110924,54329,-117718,13965996,19.79%
2026-01-30,67500,1223879,-39455,-65455,13873483,19.66%
2026-02-02,64300,785273,-74965,21378,13871502,19.66%
2026-02-03,66900,442476,22256,-16634,13674070,19.38%
2026-02-04,71100,1370491,252775,-45520,13507873,19.14%
2026-02-05,66200,658873,-4141,-125106,13446956,19.06%
2026-02-06,63000,533529,-35908,-2240,13392740,18.98%
2026-02-09,66700,427841,48217,32393,13495401,19.13%
2026-02-10,64500,350428,-97438,-463,13424295,19.03%
2026-02-11,63600,264347,-22330,-82244,13338314,18.90%
2026-02-12,69900,2598556,349285,236114,13577196,19.24%
2026-02-13,65800,1215190,-21453,-234345,13342655,18.91%
2026-02-19,68600,1100153,40632,130746,13473045,19.09%
2026-02-20,67000,705383,-80108,-119423,13335716,18.90%
2026-02-23,65500,875767,-68705,-153961,13099126,18.57%
2026-02-24,67200,861115,58168,92893,13200846,18.71%
2026-02-25,69900,1888092,69575,160315,13376159,18.96%
2026-02-26,70200,2158568,67349,-368280,13007682,18.44%
2026-02-27,71900,1726680,61290,-90847,12911447,18.30%
